,iTurnover,iVolume,nActionDay,nAskPrice1,nAskPrice10,nAskPrice2,nAskPrice3,nAskPrice4,nAskPrice5,nAskPrice6,nAskPrice7,nAskPrice8,nAskPrice9,nAskVol1,nAskVol10,nAskVol2,nAskVol3,nAskVol4,nAskVol5,nAskVol6,nAskVol7,nAskVol8,nAskVol9,nBidPrice1,nBidPrice10,nBidPrice2,nBidPrice3,nBidPrice4,nBidPrice5,nBidPrice6,nBidPrice7,nBidPrice8,nBidPrice9,nBidVol1,nBidVol10,nBidVol2,nBidVol3,nBidVol4,nBidVol5,nBidVol6,nBidVol7,nBidVol8,nBidVol9,nHigh,nHighLimited,nIOPV,nLow,nLowLimited,nMatch,nNumTrades,nOpen,nPreClose,nSD2,nStatus,nSyl1,nSyl2,nTime,nTotalAskVol,nTotalBidVol,nWeightedAvgAskPrice,nWeightedAvgBidPrice,nYieldToMaturity,sym,szWindCode,time
5398,114210747,5675340,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,2600,16600,24700,500,15900,8500,4100,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,9100,800,39100,31200,1000,4500,600,700,1700,4800,204500,220700,0,197200,180500,202000,5507,203300,200600,0,0,0,0,101057240,2015721,1549860,214100,191300,0,'002099','002099.SZ','0D10:11:02.006131000'
5408,114220847,5675840,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,2800,16600,23700,500,15900,8500,4100,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,9100,800,39100,31200,1000,4500,600,700,1700,4800,204500,220700,0,197200,180500,202000,5508,203300,200600,0,0,0,0,101100610,2014821,1549860,214100,191300,0,'002099','002099.SZ','0D10:11:05.029546000'
5418,114230947,5676340,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,4300,16600,23700,500,15900,8500,3900,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,8600,800,39100,31200,1000,4500,600,700,1700,4800,204500,220700,0,197200,180500,202000,5510,203300,200600,0,0,0,0,101104070,2011621,1552860,214100,191300,0,'002099','002099.SZ','0D10:11:08.104331000'
5428,114263252,5677940,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,4700,16600,23700,500,15900,6500,3800,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,5100,800,39100,31200,1000,4500,600,700,1700,4800,204500,220700,0,197200,180500,202000,5514,203300,200600,0,0,0,0,101106930,2010221,1549360,214100,191200,0,'002099','002099.SZ','0D10:11:10.985886000'
5438,114267292,5678140,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,5500,16600,23700,500,15900,6500,3800,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,5100,800,39100,31200,1000,4500,600,700,1700,4800,204500,220700,0,197200,180500,202000,5515,203300,200600,0,0,0,0,101109960,2011221,1549560,214100,191200,0,'002099','002099.SZ','0D10:11:14.031655000'
5448,114269311,5678240,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,5500,16600,23700,500,15900,6500,3800,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,5000,800,39100,31200,1000,4500,600,700,1700,4800,204500,220700,0,197200,180500,201900,5516,203300,200600,0,0,0,0,101112210,2011521,1549760,214100,191200,0,'002099','002099.SZ','0D10:11:17.064156000'
5458,114279411,5678740,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,5000,16600,23400,500,15900,6600,3800,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,5000,800,39100,31200,1000,4500,600,700,1700,4800,204500,220700,0,197200,180500,202000,5517,203300,200600,0,0,0,0,101115470,2012821,1550060,214100,191200,0,'002099','002099.SZ','0D10:11:20.025284000'
5468,114303644,5679940,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,5700,15200,23400,500,15900,6600,3800,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,5100,800,39100,31200,1000,4600,600,700,1700,4800,204500,220700,0,197200,180500,201900,5520,203300,200600,0,0,0,0,101119140,2012121,1553760,214100,191300,0,'002099','002099.SZ','0D10:11:23.074601000'
5478,114337967,5681640,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,5700,15200,23400,500,17500,6600,3800,6600,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,3400,800,39100,31200,1000,4600,600,700,1700,4800,204500,220700,0,197200,180500,201900,5523,203300,200600,0,0,0,0,101121160,2013921,1553160,214100,191200,0,'002099','002099.SZ','0D10:11:26.039218000'
5488,114382401,5683840,20160226,202000,202900,202100,202200,202300,202400,202500,202600,202700,202800,5100,15200,2700,500,17500,8100,3300,5100,7400,10900,201900,200900,201800,201700,201600,201500,201400,201200,201100,201000,2800,800,39300,31200,1000,4600,600,700,1700,4800,204500,220700,0,197200,180500,201900,5531,203300,200600,0,0,0,0,101125170,1992221,1552760,214300,191200,0,'002099','002099.SZ','0D10:11:29.033896000'
